id,name,reportReference,reportTitle,reportYear,reportAuthor,structure,structureOther,chemistry,chemistryOther,modification,modificationOther,characterization,otherSolutes,A,B,AB,Rreal,Robs,filtrationMode,hydraulicP,NaCl conc (M),Pw,Ps,osmoticP,cpMode,CP,thickness,roughness,CA,pwPs,couponSize,pH
14,TFC PSf,10.1016/j.ces.2012.05.033,Thin film composite forward osmosis membranes based on polydopamine modified polysulfone substrates with enhancements in both water flux and salt rejection,2012,Han,Polymeric TFC,,Polyamide,,No modification,,SEM;AFM;XPS,No,0.51,0.23,2.145,80.64,80,Dead-end,2,0.00342,7.34e-7,2.43e-10,0.1514,Not available,,380,116.4,,,19.5
15,TFC PDA@PSf-1h,10.1016/j.ces.2012.05.033,Thin film composite forward osmosis membranes based on polydopamine modified polysulfone substrates with enhancements in both water flux and salt rejection,2012,Han,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;AFM,No,0.6,0.19,3.053,85.53,85,Dead-end,2,0.00342,3.41e-7,7.92e-11,0.1514,Not available,,150,77.42,,,19.5
16,TFC PDA@PSf-3h,10.1016/j.ces.2012.05.033,Thin film composite forward osmosis membranes based on polydopamine modified polysulfone substrates with enhancements in both water flux and salt rejection,2012,Han,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;AFM,No,0.55,0.15,3.612,87.26,87,Dead-end,2,0.00342,3.85e-7,7.71e-11,0.1514,Not available,,185,78.74,,4993.514915693904,19.5
17,TFC PDA@PSf-5h,10.1016/j.ces.2012.05.033,Thin film composite forward osmosis membranes based on polydopamine modified polysulfone substrates with enhancements in both water flux and salt rejection,2012,Han,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;AFM;XPS,No,0.49,0.12,3.962,88.4,88,Dead-end,2,0.00342,5.2e-7,9.33e-11,0.1514,Not available,,280,84.61,,5573.419078242229,19.5
18,No modification,10.1016/j.seppur.2010.01.019,Synthesis and characterization of thin film composite reverse osmosis membranes via novel interfacial polymerization approach,2010,Zou,Polymeric TFC,,Polyamide,,No modification,,FTIR;XPS,No,2.6,0.3745,6.9,98.94,98.5,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.42,,,,,19,7
19,TFC membrane by 2nd IP reaction for 60 s,10.1016/j.seppur.2010.01.019,Synthesis and characterization of thin film composite reverse osmosis membranes via novel interfacial polymerization approach,2010,Zou,Polymeric TFC,,Polyamide,,Post-treatment: solvent annealing,,FTIR;XPS,No,2.42,0.2083,11.6,99.36,99.12,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.38,,,,,19,7
20,TFC membrane by adding 1% DMSO in aqueous phase,10.1016/j.seppur.2010.01.019,Synthesis and characterization of thin film composite reverse osmosis membranes via novel interfacial polymerization approach,2010,Zou,Polymeric TFC,,Polyamide,,Synthesis: solvent,,FTIR;XPS,No,4,0.7444,5.4,98.59,97.65,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.67,,,,,19,7
21,Example 12,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.44,0.296,4.9,99.57,99.15,Not available,103.4,0.6,,,28.3,CP calculated assuming kf = 100,1.98,,,,,,
22,PEC-1000,10.1016/S0011-9164(00)86002-6,Spiral-wound new thin film composite membrane for a single-stage seawater desalination by reverse osmosis,1980,Kurihara,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,0.437,0.009,46.52,99.91,99.9,Not available,55.16,0.6,4.97e-8,7.83e-13,28.23,CP calculated assuming kf = 100,1.11,30,,,63473.818646232445,,6
23,N/A,10.1016/j.desal.2011.09.003,"Thin film composite reverse osmosis membrane development and scale up at CSMCRI, Bhavnagar",2011,Rangarajan,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR;SEM,No,5.055,1.373,3.682,98.08,96.2,Cross-flow,17.24,0.043,0.00000383,7.63e-10,1.684,CP calculated assuming kf = 100,2.01,200,130,,5019.6592398427265,15,
24,A1,10.1016/j.desal.2011.08.034,Effect of lag time in interfacial polymerization on polyamide composite membrane with different hydrophilic sub layers,2012,Fathizadeh,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR;AFM;SEM,No,1.39,10.51,0.1319,59.58,55.8,Cross-flow,12.16,0.0342,0.00000234,1.3e-8,0.849,CP calculated assuming kf = 100,1.09,446,65.57,58.6,180,35,
25,A2,10.1016/j.desal.2011.08.034,Effect of lag time in interfacial polymerization on polyamide composite membrane with different hydrophilic sub layers,2012,Fathizadeh,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR;AFM;SEM,No,0.28,0.6,0.4631,83.42,83,Cross-flow,12.16,0.0342,2.97e-7,4.7e-10,1.261,CP calculated assuming kf = 100,1.03,284,79.98,55.8,631.9148936170213,35,
26,A3,10.1016/j.desal.2011.08.034,Effect of lag time in interfacial polymerization on polyamide composite membrane with different hydrophilic sub layers,2012,Fathizadeh,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR;AFM;SEM,No,0.19,0.68,0.2816,75.59,75.2,Cross-flow,12.16,0.0342,2.45e-7,6.39e-10,1.143,CP calculated assuming kf = 100,1.021,339,58.64,60.1,,35,
27,B1,10.1016/j.desal.2011.08.034,Effect of lag time in interfacial polymerization on polyamide composite membrane with different hydrophilic sub layers,2012,Fathizadeh,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR;AFM;SEM,No,1.17,2.78,0.4207,81.94,80,Cross-flow,12.16,0.0342,0.00000123,2.14e-9,1.216,CP calculated assuming kf = 100,1.134,277,43,55.8,574.766355140187,35,
28,B2,10.1016/j.desal.2011.08.034,Effect of lag time in interfacial polymerization on polyamide composite membrane with different hydrophilic sub layers,2012,Fathizadeh,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR;AFM;SEM,No,0.91,1.56,0.5867,86.3,85.1,Cross-flow,12.16,0.0342,8.81e-7,1.1e-9,1.293,CP calculated assuming kf = 100,1.103,255,68.06,39.9,800.909090909091,35,
29,B3,10.1016/j.desal.2011.08.034,Effect of lag time in interfacial polymerization on polyamide composite membrane with different hydrophilic sub layers,2012,Fathizadeh,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR;AFM;SEM,No,0.76,0.89,0.8555,90.14,89.4,Cross-flow,12.16,0.0342,8.16e-7,7e-10,1.358,CP calculated assuming kf = 100,1.084,284.5,56.5,60.1,1165.7142857142858,35,
30,C1,10.1016/j.desal.2011.08.034,Effect of lag time in interfacial polymerization on polyamide composite membrane with different hydrophilic sub layers,2012,Fathizadeh,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR;AFM;SEM,No,0.63,0.66,0.9527,91.06,90.5,Cross-flow,12.16,0.0342,4.4e-7,3.39e-10,1.375,CP calculated assuming kf = 100,1.069,185.5,79.98,72.4,1297.9351032448378,35,
31,C2,10.1016/j.desal.2011.08.034,Effect of lag time in interfacial polymerization on polyamide composite membrane with different hydrophilic sub layers,2012,Fathizadeh,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR;AFM;SEM,No,0.61,0.47,1.2905,93.22,92.8,Cross-flow,12.16,0.0342,4.75e-7,2.7e-10,1.409,CP calculated assuming kf = 100,1.067,205.6,68.06,58.6,1759.2592592592594,35,
32,C3,10.1016/j.desal.2011.08.034,Effect of lag time in interfacial polymerization on polyamide composite membrane with different hydrophilic sub layers,2012,Fathizadeh,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR;AFM;SEM,No,0.73,1.28,0.5743,86.07,85.1,Cross-flow,12.16,0.0342,5.95e-7,7.6e-10,1.293,CP calculated assuming kf = 100,1.082,214,62.39,50.5,782.8947368421053,35,
33,D1,10.1016/j.desal.2011.08.034,Effect of lag time in interfacial polymerization on polyamide composite membrane with different hydrophilic sub layers,2012,Fathizadeh,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR;AFM;SEM,No,0.81,2.14,0.3786,80.42,79,Cross-flow,12.16,0.0342,7.77e-7,1.51e-9,1.2,CP calculated assuming kf = 100,1.092,253,63.96,57.2,514.5695364238411,35,
34,D2,10.1016/j.desal.2011.08.034,Effect of lag time in interfacial polymerization on polyamide composite membrane with different hydrophilic sub layers,2012,Fathizadeh,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR;AFM;SEM,No,0.81,2.97,0.2742,75.01,73.3,Cross-flow,12.16,0.0342,5.96e-7,1.59e-9,1.114,CP calculated assuming kf = 100,1.093,193.6,73.32,55.8,374.84276729559747,35,
35,D3,10.1016/j.desal.2011.08.034,Effect of lag time in interfacial polymerization on polyamide composite membrane with different hydrophilic sub layers,2012,Fathizadeh,Polymeric TFC,,Polyamide,,Synthesis: support,,FTIR;AFM;SEM,No,0.73,1.6,0.4559,83.14,82,Cross-flow,12.16,0.0342,7.6e-7,1.22e-9,1.246,CP calculated assuming kf = 100,1.082,274.8,54.43,54.4,622.9508196721312,35,
36,MPD-I/T Homogeneous,10.1021/bk-1985-0269.ch004,Aromatic Polyamide Membranes,1985,Hoehn,Other,Homogeneous,Polyamide,,Synthesis: deposition method,,,No,0.0016,0.0002,7.83,99.6,99.6,Not available,34.47,0.0599,,,2.654,CP calculated assuming kf = 100,1,,,,,,
37,MPD-I/T Asymmetric,10.1021/bk-1985-0269.ch004,Aromatic Polyamide Membranes,1985,Hoehn,Asymmetric,,Polyamide,,Synthesis: deposition method,,,No,0.29,0.02,17.3,99.82,99.8,Not available,34.47,0.0599,,,2.659,CP calculated assuming kf = 100,1.09,,,,,,
38,0B(0)2(0)B0/0I0-I/T,10.1021/bk-1985-0269.ch004,Aromatic Polyamide Membranes,1985,Hoehn,Asymmetric,,Other,Polyhydrazide,Synthesis: monomers,,,No,0.72,0.13,5.7,99.44,99.3,Not available,34.47,0.0599,,,2.646,CP calculated assuming kf = 100,1.25,,,,,,
39,"1,3 BO/1,4 B0 - I/T",10.1021/bk-1985-0269.ch004,Aromatic Polyamide Membranes,1985,Hoehn,Asymmetric,,Other,Polyamide-hydrazide,Synthesis: monomers,,,No,0.93,0.11,8.59,99.63,99.5,Not available,34.47,0.0599,,,2.651,CP calculated assuming kf = 100,1.34,,,,,,
40,Example 1,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,5.37,1.03,5.21,98.69,97.2,Dead-end,68.95,0.5475,,,25,CP calculated assuming kf = 100,2.18,,,,,,
41,Example 2,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,4.4,0.41,10.78,99.44,98.85,Dead-end,68.95,0.5475,,,25.4,CP calculated assuming kf = 100,2.07,,,,,,
42,Example 3,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,4.65,0.59,7.84,99.21,98.35,Dead-end,68.95,0.5475,,,25.28,CP calculated assuming kf = 100,2.1,,,,,,
43,Example 4,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.38,1.09,1.27,97.52,96.25,Dead-end,68.95,0.5475,,,24.77,CP calculated assuming kf = 100,1.53,,,,,,
44,Example 5,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.08,0.95,1.14,97.43,96.35,Dead-end,68.95,0.5475,,,24.8,CP calculated assuming kf = 100,1.44,,,,,,
45,Example 6,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.78,0.49,3.64,99.02,98.4,Dead-end,68.95,0.5475,,,25.29,CP calculated assuming kf = 100,1.64,,,,,,
46,Example 7,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.26,0.96,1.31,97.66,96.55,Dead-end,68.95,0.5475,,,24.85,CP calculated assuming kf = 100,1.49,,,,,,
47,Example 8,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.27,0.94,1.36,97.74,96.65,Dead-end,68.95,0.5475,,,24.87,CP calculated assuming kf = 100,1.5,,,,,,
48,Example 9,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.26,0.41,3.12,98.99,98.5,Dead-end,68.95,0.5475,,,25.32,CP calculated assuming kf = 100,1.49,,,,,,
49,Example 10,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,2.4,0.36,6.68,99.38,98.9,Dead-end,68.95,0.5475,,,25.42,CP calculated assuming kf = 100,1.77,,,,,,
50,Example 11,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,2.14,0.68,3.16,98.77,97.9,Dead-end,68.95,0.5475,,,25.17,CP calculated assuming kf = 100,1.73,,,,,,
51,Example 12,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,4.9,0.91,5.38,98.81,97.5,Dead-end,68.95,0.5475,,,25.08,CP calculated assuming kf = 100,2.13,,,,,,
52,Example 13,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.84,0.62,2.96,98.78,98,Dead-end,68.95,0.5475,,,25.2,CP calculated assuming kf = 100,1.65,,,,,,
53,Example 14,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,5.57,0.66,8.5,99.17,98.2,Dead-end,68.95,0.5475,,,25.25,CP calculated assuming kf = 100,2.18,,,,,,
54,Example 15,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.4,0.37,3.84,99.14,98.7,Dead-end,68.95,0.5475,,,25.37,CP calculated assuming kf = 100,1.53,,,,,,
55,Example 16,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.65,0.39,4.27,99.18,98.7,Dead-end,68.95,0.5475,,,25.37,CP calculated assuming kf = 100,1.6,,,,,,
56,Example 17,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,2.23,0.35,6.3,99.36,98.9,Dead-end,68.95,0.5475,,,25.42,CP calculated assuming kf = 100,1.74,,,,,,
57,Example 18,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.83,0.46,3.97,99.08,98.5,Dead-end,68.95,0.5475,,,25.32,CP calculated assuming kf = 100,1.65,,,,,,
58,Example 19,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.82,0.49,3.7,99.02,98.4,Dead-end,68.95,0.5475,,,25.29,CP calculated assuming kf = 100,1.64,,,,,,
59,Example 20,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.7,0.95,1.78,98.07,96.9,Dead-end,68.95,0.5475,,,24.93,CP calculated assuming kf = 100,1.62,,,,,,
60,Example 21,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,2.19,0.52,4.24,99.07,98.4,Dead-end,68.95,0.5475,,,25.29,CP calculated assuming kf = 100,1.73,,,,,,
61,Example 22,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,2.44,0.49,4.93,99.15,98.5,Dead-end,68.95,0.5475,,,25.32,CP calculated assuming kf = 100,1.78,,,,,,
62,Example 23,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,2.7,2.12,1.27,96.74,94.05,Dead-end,68.95,0.5475,,,24.24,CP calculated assuming kf = 100,1.88,,,,,,
63,Example 24,U.S. Patent No.4529646,Production of Composite Membranes,1985,Sundet,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,3.07,1.85,1.66,97.28,94.85,Dead-end,68.95,0.5475,,,24.43,CP calculated assuming kf = 100,1.94,,,,,,
64,Example 1,U.S. Patent No. 4277344,Interfacially Synthesized Reverse Osmosis Membrane,1981,Cadotte,Polymeric TFC,,Polyamide,,No modification,,,No,3.43,0.17,20.176470588235293,99.73,99.5,Not available,69,0.6,,,28.18,CP calculated assuming kf = 100,1.83,,,,,,
66,control PA TFC,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent,,FTIR;SEM,No,3.18,0.1108,28.7,99.74,99.6,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.52,,,,,18.2,6
67,PA TFC in 80 ◦C oven for 10 min,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent;Post-treatment: solvent annealing,,,No,3.42,0.2314,14.8,99.49,99.2,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.57,,,,,18.2,6
68,MPD 0.5;  TMC 0.13,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: monomers,,,No,1.54,0.0855,18,99.59,99.5,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.23,,,,,18.2,6
69,MPD 0.75;  TMC 0.13,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: monomers,,,No,2.34,0.1155,20.3,99.63,99.5,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.37,,,,,18.2,6
70,MPD 1;  TMC 0.13,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: monomers,,,No,2.38,0.1403,17,99.56,99.4,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.38,,,,,18.2,6
71,MPD 1.5;  TMC 0.13,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: monomers,,,No,2.58,0.0981,26.3,99.72,99.6,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.41,,,,,18.2,6
72,MPD 2;  TMC 0.13,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: monomers,,,No,2.7,0.1009,26.7,99.72,99.6,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.43,,,,,18.2,6
73,MPD 2.5;  TMC 0.13,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: monomers,,,No,2.54,0.0972,26.1,99.71,99.6,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.4,,,,,18.2,6
74,MPD 3;  TMC 0.13,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: monomers,,,No,1.84,0.0978,18.8,99.61,99.5,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.28,,,,,18.2,6
75,MPD 1.5;  TMC 0.025,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: monomers,,,No,2.54,0.0972,26.1,99.71,99.6,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.4,,,,,18.2,6
76,MPD 1.5;  TMC 0.05,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: monomers,,,No,3.1,0.1093,26.1,99.71,99.6,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.38,,,,,18.2,6
77,MPD 1.5;  TMC 0.075,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: monomers,,,No,2.86,0.0782,36.5,99.79,99.7,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.46,,,,,18.2,6
78,MPD 1.5;  TMC 0.1,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: monomers,,,No,2,0.0828,24.1,99.69,99.6,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.31,,,,,18.2,6
79,MPD 1.5;  TMC 0.14,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: monomers,,,No,2,0.1036,19.3,99.62,99.5,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.31,,,,,18.2,6
80,S-BAPS 2 w/v%; 1,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: monomers,,,No,8.19,9.197,0.9,91.58,80,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,2.38,,,,,18.2,6
81,S-BAPS 2 w/v%; 1.5,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: monomers,,,No,5.81,8.3102,0.7,90.03,81,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.91,,,,,18.2,6
82,S-BAPS 2 w/v%; 2,10.1016/j.memsci.2012.02.038,"Polyamide interfacial composite membranes prepared from m -phenylene diamine , trimesoyl chloride and a new disulfonated diamine",2012,Xie,Polymeric TFC,,Polyamide,,Synthesis: solvent;Synthesis: monomers,,,No,4.18,3.922,1.1,93.34,89,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.65,,,,,18.2,6
